Q7D4P3|Q6UW88	ESPI|EPGN
Q7D5J3|Q9UHD1	GLMM|CHORDC1
Q10516|Q8NDC7	PTKA|ARNT
Q7D4P3|Q9UMZ5	ESPI|ADRB2
Q7D5J3|Q9UH35	GLMM|TGM2
Q10516|Q6LER8	PTKA|CCNA2
Q10516|Q9P0M5	PTKA|CENPC
Q7D5J3|Q9Y6U3	GLMM|SCIN
Q10516|Q9BZK6	PTKA|RHOBTB2
Q10516|Q6URK5	PTKA|HNRNPA3
Q10516|Q93009	PTKA|USP7
Q7D4P3|Q9UIQ3	ESPI|FGR
Q10516|Q9BQL0	PTKA|BCKDHB
Q10516|Q8TCV6	PTKA|H2BC17
P9WI81|Q9BZB6	PKNB|RAB27B
Q10516|Q9UPU4	PTKA|DOCK9
Q10516|O15066	PTKA|KIF3B
Q7D4P3|Q5TZC0	ESPI|RPS10
Q7D4P3|Q96IP8	ESPI|BYSL
Q7D4P3|Q9UC41	ESPI|CRYAB
Q10516|Q63059	PTKA|GRB2
Q10516|Q13524	PTKA|DUSP4
Q10516|Q9UKQ4	PTKA|MAPK8IP2
Q10516|Q9BUQ0	PTKA|PTBP1
P9WI81|Q53ES8	PKNB|RPS6KA4
Q7D4P3|Q9NR61	ESPI|DLL4
Q10516|Q6LCP6	PTKA|GNGT1
Q7D4P3|Q9ULC2	ESPI|TCF7L2
Q7D5J3|P52566	GLMM|ARHGDIB
Q7D5J3|Q9UFU0	GLMM|LIMK2
Q7D4P3|Q8TAT3	ESPI|DYNC1LI2
Q10516|Q9UCR6	PTKA|HSPD1
Q10516|Q9Y535	PTKA|POLR3H
Q10516|Q86TF2	PTKA|CLTC
Q7D4P3|P46109	ESPI|CRKL
Q7D4P3|Q9UDA5	ESPI|TFF3
Q7D4P3|Q24JU2	ESPI|PIK3CB
Q10516|P15169	PTKA|CPN1
Q7D4P3|Q7Z2I6	ESPI|GDI1
Q10516|Q9UED7	PTKA|CUL4B
Q7D4P3|Q9BUN4	ESPI|F2R
Q10516|Q92769	PTKA|HDAC2
Q7D4P3|P62195	ESPI|PSMC5
Q10516|Q9UFS6	PTKA|TRPC4AP
Q10516|O14966	PTKA|RAB29
Q7D4P3|Q8WYK4	ESPI|TYMS
Q10516|Q6IS14	PTKA|EIF5AL1
Q7D4P3|Q9UKX5	ESPI|ITGA11
Q10516|Q9BVU8	PTKA|MTG1
Q10516|Q504W0	PTKA|TLR3
Q7D4P3|Q8N1A1	ESPI|GPNMB
Q7D4P3|Q9Y3B2	ESPI|EXOSC1
Q10516|Q9Y5V2	PTKA|GIT2
Q7D4P3|Q9UN83	ESPI|ADAMTS4
Q10516|Q96K94	PTKA|HAVCR2
Q7D5J3|Q9UPP8	GLMM|PITRM1
Q10516|Q9NWN0	PTKA|ZNHIT6
Q7D5J3|Q969D8	GLMM|RAB11FIP4
Q7D5J3|Q9UC20	GLMM|RAF1
Q10516|Q9P2P3	PTKA|RPTOR
Q7D4P3|P14784	ESPI|IL2RB
P9WI81|Q9UCE9	PKNB|HNRNPD
Q7D4P3|Q9H1Y4	ESPI|CHML
Q7D4P3|Q8NHL6	ESPI|LILRB1
P9WI81|Q29R80	PKNB|PLA2G4A
Q7D4P3|Q5VUF1	ESPI|BCL10
Q7D4P3|Q9UPH0	ESPI|COL1A2
Q7D4P3|Q9NUI0	ESPI|RAB11FIP3
Q7D4P3|Q8TCW5	ESPI|POLR3A
Q7D4P3|Q8N191	ESPI|KYAT1
Q7D4P3|Q8IZL7	ESPI|BSG
Q7D4P3|Q75MM2	ESPI|CHN2
Q7D4P3|Q9NYB3	ESPI|CASK
Q10516|Q9UQM6	PTKA|GDI2
Q7D5J3|Q9UHX7	GLMM|UIMC1
Q7D5J3|Q8NDU5	GLMM|AHSA2P
Q10516|Q9BW83	PTKA|IFT27
Q7D4P3|Q8N719	ESPI|IFT88
P9WI81|Q9UDI1	PKNB|RASA1
Q10516|Q9UDJ6	PTKA|NME1
Q10516|Q8TD38	PTKA|TCEA2
P9WI81|C9J0E9	PKNB|PSMD6
Q7D4P3|Q6QEF7	ESPI|BCAR1
Q7D4P3|Q9NZE4	ESPI|EXOC1
Q10516|Q9GZS1	PTKA|POLR1E
I6WXK4|Q96J47	PTPB|LGALS3
Q7D4P3|Q9NYF9	ESPI|GOLGA2
Q10516|Q86TL9	PTKA|DNAJA1
Q7D4P3|Q7Z301	ESPI|ABL2
P9WI81|Q59GZ4	PKNB|ROCK1
Q7D4P3|P11233	ESPI|RALA
Q7D4P3|Q9UNT7	ESPI|HOMER2
Q7D4P3|P60568	ESPI|IL2
Q7D5J3|Q9NS62	GLMM|THSD1
Q7D4P3|Q86XE6	ESPI|CPD
Q7D4P3|Q8N578	ESPI|EFNA1
Q7D4P3|Q14595	ESPI|ITGA2
Q7D4P3|Q9HB32	ESPI|METTL3
P9WPH9|Q96AZ3	ECCA1|PSMC1
Q10516|Q16472	PTKA|BCKDHA
P9WKE3|Q9UHD1	PRS|CHORDC1
Q7D4P3|Q9H4A2	ESPI|RET
P9WI81|Q8NI07	PKNB|RAB11B
Q7D4P3|Q96KX2	ESPI|CAPZA3
Q7D4P3|Q86YJ2	ESPI|SIK1
Q7D4P3|Q6LDT9	ESPI|MYCN
Q7D4P3|Q96FP6	ESPI|GRIA2
P9WI81|Q9BXY3	PKNB|ADAMTSL1
Q7D5J3|Q9BSB1	GLMM|ARHGEF1
Q7D4P3|Q9UEQ6	ESPI|ARRB2
