	Q8INW0	14605208
Q8INW0		14605208
Q94981	Q8INW0	14605208
	Q8INW0	14605208
Q8INW0		14605208
Q8INW0	P23696	14605208
	Q8INW0	14605208
	Q8INW0	14605208
	Q8INW0	14605208
Q9VLP3	Q8INW0	14605208
Q8INW0		14605208
	Q8INW0	14605208
	Q8INW0	14605208
	Q8INW0	14605208
Q8INW0		14605208
Q8INW0		14605208
Q8INW0		14605208
Q8INW0		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P48149	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
Q9GU68		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q03017	14605208
		14605208
		14605208
		14605208
		14605208
Q9XZS4		14605208
		14605208
		14605208
	P07182	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P19109		14605208
	P19109	14605208
P19109		14605208
P19109	Q9W0W6	14605208
	P19109	14605208
P19109		14605208
Q9VJD2	P19109	14605208
P19109		14605208
	P19109	14605208
	P19109	14605208
P19109		14605208
	P19109	14605208
P19109		14605208
P19109	P39736	14605208
P19109		14605208
Q9VQQ9	P19109	14605208
	P19109	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P08970		14605208
		14605208
		14605208
		14605208
Q9W3S4		14605208
		14605208
		14605208
	Q8T913	14605208
	Q8T3Y0	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
O44783		14605208
		14605208
	P48603	14605208
P13008		14605208
	P13008	14605208
Q9VMA3	P13008	14605208
P13008	Q8T0S6	14605208
P13008		14605208
P13008		14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
P13008		14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
P13008		14605208
	P13008	14605208
P13008	P15330	14605208
	P13008	14605208
P00528	P13008	14605208
	P13008	14605208
	P13008	14605208
	P13008	14605208
P13008		14605208
P13008		14605208
	P13008	14605208
Q9W2D9		14605208
Q9W2D9		14605208
Q9W2D9		14605208
Q9W2D9	Q9W4E2	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	O76863	14605208
		14605208
O97067		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	Q9V564	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	O46036	14605208
P07487		14605208
P29742		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P32100		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P52295		14605208
		14605208
		14605208
		14605208
		14605208
O18640		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P22058	14605208
		14605208
		14605208
	Q24113	14605208
Q24113		14605208
	Q01083	14605208
Q01083		14605208
	Q9VN97	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
		14605208
	P48149	14605208
	P07548	14605208
		14605208
		14605208
		14605208
P10379		14605208
		14605208
		14605208
		14605208
	Q8T3W6	14605208
		14605208
		14605208
		14605208
		14605208
		14605208
P23757		14605208
		14605208
		14605208
		14605208
	Q86LC4	14605208
	Q86LC4	14605208
Q86LC4		14605208
Q86LC4		14605208
Q86LC4	P16378	14605208
Q86LC4		14605208
		14605208
		14605208
		14605208
	Q9VTV7	14605208
Q9VV43		14605208
		14605208
	Q8INW0	14605208
Q24093		14605208
P13008		14605208
P29555		14605208
		14605208
P48603		14605208
		14605208
		14605208
	Q8INW0	14605208
	Q8INW0	14605208
Q8INW0		14605208
Q8INW0	Q9VD25	14605208
		14605208
		14605208
