P06710	P0ABA4
P09147	P39409
P0ACX9	P15028
P0A6Z1	P0ACD4
P77712	P77712
P05637	P0ABW5
P0AA04	P0AF10
P0AF82	P76500
P0A9M0	P0A9M0
P76555	P77218
P39208	Q46953
P75745	P75745
P31552	P31552
P0ACC7	P0ACC7
P05523	P0A9H9
P0A7W7	Q46802
P16384	P16384
P0A8E1	P37751
P76194	P76194
P0A8B2	P18196
Q47690	Q47690
P25534	P77390
Q8GA71	Q8GA71
P05827	P23862
P0ABS1	P45577
P0AEF4	P69741
P0A944	P76256
P11875	P11875
P0A6L9	P0ACD4
P75971	P76500
P04983	P06993
P28630	Q47150
