P48025	P60843
P70441	Q9R155
Q7TQ40	P41136
O54833	Q9Z2B5
P14106	O08573
Q9QYR6	Q80TE7
Q9CZW5	Q99LG0
P18155	Q8QZT1
Q62255	Q9ERZ3
O89033	Q3TYL0
Q99L45	Q3U564
A2AMD2	O89110
Q6PFR5	Q9ESU6
Q9QUM7	Q3V3E1
L7N480	P10856
Q5SQM0	O88379
Q5SW46	P04919
P35582	P97500
Q64522	P48453
Q9JKR6	Q9D676
Q8R0G7	P04760
P62900	A2A4X6
Q9D5T7	Q6PDQ2
P35235	O55022
Q9D6P8	Q3U0J8
F7BCN0	P60904
Q9CQ70	Q8CH19
Q61187	F6ZDS4
Q3UQN2	O09106
Q8QZW3	Q61120
Q8CFZ4	P70403
Q6VNS1	O54851
Q63912	O88485
Q8BS90	O88477
P97821	P08071
Q6PCP3	Q8CEE7
Q9WUR0	Q9D9D3
Q9JJZ4	O35495
P19228	P32261
P09671	Q7TSV6
Q8C129	Q8BPX9
Q9ESX5	P62311
O70548	Q9ESF1
Q8VDU1	Q3UDF0
Q80X73	Q9D6F9
Q3V080	Q64339
Q9EQN3	Q9CWH5
Q8BG02	E9PZ87
Q9JI59	Q61490
Q9D159	P48318
Q810Z1	Q8CFW1
Q3TEA8	J3KMI9
Q8R4D1	Q8VI23
P70696	G3X9G9
Q8K4Q8	Q91Y57
P09026	Q8CIN6
Q9EQB5	Q9QWU6
P30677	P70425
Q8CF89	Q8BWU3
Q71FD5	B2RUR8
P97291	Q5STE3
A9Z055	Q7TR54
Q9WUD1	P70351
Q9JMD0	Q69ZC8
Q9QX29	Q9JJ69
A2A825	Q8C8R3
Q5XFR0	F6Q785
Q3THF9	Q91YL3
Q8VC85	P05201
F6WF45	P25799
Q8VC85	Q9D892
G3X964	Q3UMU9
P12813	P49615
O88520	P42682
Q91VA0	P04117
Q7TQK0	E9QA22
F7CYK6	Q7TQZ8
Q1HL35	Q8VDG6
Q9Z0J1	P28301
Q60680	P63032
P54822	Q9CWT6
Q9D856	O54754
Q9EPR5	Q8BXR5
Q64331	P62137
Q62230	Q80UL9
Q01279	Q6PZE0
Q9D411	Q9ES18
O08599	Q64336
P10855	P56386
Q8K4P8	Q5SUG4
Q8C0N0	P63085
P52480	Q3TLP5
Q8N9S3	Q05921
Q7TRI4	Q8VFC1
P13634	Q07456
Q9R0C8	Q00993
P35283	Q60605
Q8BX22	P70658
Q8CH62	E9Q1U1
Q8CDM8	A2RSJ4
Q9D9J3	Q9D5J5
D3YXK1	P48972
Q7M747	Q9JKK1
Q8R059	P04627
Q9DAN1	Q61335
Q5XG71	G3X8X0
Q9D506	Q7M762
O08911	Q569N2
Q6ZQ89	Q5SYD0
E9Q9D5	P15920
Q60676	P97793
Q9CWW6	O88312
Q45HK4	Q8CFA1
Q0VF94	D3Z5M2
Q62230	Q9D783
P48986	Q80TE7
O70624	Q8BUI3
A0A140LJ87	P97377
O70514	Q3U962
Q8R418	Q8BGV5
Q3U481	Q9R1S3
P47811	P97363
O55087	P70227
Q9R0E2	Q9WUP0
P63015	Q7TSU7
Q9Z0W3	P50580
Q6ZPL9	Q9R1K9
J3QML9	Q60673
Q64478	Q99LG0
Q9JHD1	Q02085
O35305	O70460
P37040	P48377
A0A087WQA9	F6YG85
P56546	Q60952
Q91XB7	O88696
A0A0U1RPC4	Q8BZ21
P52332	P11032
V9GWT9	O88552
P59281	Q6PGG2
P61022	Q80X60
Q9CR53	Q5SUG4
Q80SY4	G3UY53
Q6VSS7	P11440
Q8VEK2	Q8BGG6
Q8R5F7	Q8CG16
Q8CE50	A2AIX1
Q80X68	O08600
Q8C8R3	Q9ERK0
O54941	P09602
